id_transacao,id_cliente,valor,data_transacao
42451996,1,176.79,2024-12-02
65632880,1,149.96,2025-01-13
91631627,1,178.48,2025-01-02
38705268,1,10.2,2024-12-31
29047761,1,116.54,2025-03-27
37839413,1,156.97,2024-11-04
48237146,1,16.47,2024-06-24
6994631,2,37.56,2025-01-19
20314850,2,36.23,2024-10-07
9116328,2,101.21,2025-05-06
30115063,2,87.08,2025-02-26
30679886,2,134.45,2024-12-09
57663949,3,163.27,2025-03-10
18396686,3,73.45,2025-02-27
3972594,3,129.74,2023-12-19
66112135,3,139.33,2025-01-19
649509,3,68.37,2025-03-11
25344994,3,17.23,2025-01-15
93178578,3,19.51,2025-03-15
37094497,4,95.0,2025-05-17
76711084,4,119.18,2024-11-30
85158385,5,49.22,2023-12-16
81829612,5,92.09,2024-10-30
71023297,5,26.02,2024-12-15
33542209,5,66.7,2024-10-17
41917000,6,172.85,2025-04-25
96367358,7,77.6,2025-03-16
71508884,7,81.69,2024-12-22
73191399,7,153.99,2025-06-15
86679110,7,149.91,2023-08-10
21701300,7,146.96,2024-03-28
18958960,7,38.29,2024-08-26
55333508,7,59.12,2024-12-08
38856458,8,199.77,2024-03-04
2538741,8,70.47,2024-06-27
71596110,8,80.44,2025-03-14
61056813,8,71.91,2024-12-18
95510812,8,108.96,2024-03-09
43188256,8,61.78,2024-02-27
8268917,8,125.94,2024-01-26
70769684,8,27.0,2024-11-17
15387840,9,37.18,2024-09-27
54260192,9,105.28,2024-08-21
55792881,10,164.65,2025-06-10
17282768,10,34.13,2025-06-12
61801326,10,79.23,2025-06-20
39883626,10,155.96,2025-06-12
17653466,10,104.26,2025-06-04
61781273,10,38.28,2025-06-04
76176130,10,91.86,2025-06-13
11537769,10,80.68,2025-06-08
50480410,11,29.7,2024-10-18
72476031,11,45.16,2024-03-17
42148047,11,161.62,2025-02-20
26850141,11,24.48,2024-08-07
81497056,11,119.02,2024-09-18
29167126,11,160.74,2024-01-15
75204287,11,181.21,2025-01-13
61391996,11,130.58,2024-04-20
70290111,11,12.08,2025-03-20
31663172,12,157.52,2024-03-18
78189062,12,112.64,2025-05-07
7075002,12,79.74,2025-03-24
88416397,13,124.82,2024-01-14
87703308,13,183.38,2024-01-21
21419146,13,139.99,2025-02-08
32754461,13,61.57,2024-09-25
61352973,13,178.11,2024-04-03
66066710,13,131.81,2024-05-16
89515019,13,114.92,2023-09-28
7822127,13,162.09,2024-12-23
99889627,13,153.0,2024-05-17
43071727,13,10.45,2023-11-13
82539911,14,189.81,2024-09-11
56981854,14,152.11,2023-10-04
85197321,14,90.74,2024-03-03
2936109,14,96.81,2024-10-10
45407454,14,153.96,2024-06-04
82023408,14,163.95,2024-06-28
43355314,15,48.05,2025-03-22
24753093,15,176.69,2025-05-06
36470236,15,143.04,2025-03-05
35487135,15,140.66,2025-06-17
41570651,16,128.48,2025-01-30
73705958,16,75.26,2024-09-20
58488469,16,19.47,2024-06-23
17103975,16,86.17,2024-09-15
49311367,16,107.09,2025-01-22
7220161,16,152.62,2025-05-08
71828683,17,176.88,2023-10-29
26592883,17,183.84,2024-05-08
21410694,17,194.22,2024-07-07
38791462,17,93.57,2024-06-02
89198595,17,194.23,2024-08-04
44854533,18,162.82,2025-05-10
97804757,18,22.56,2025-06-07
61761716,18,82.32,2025-05-12
74585071,18,121.76,2025-05-29
37182149,18,34.48,2025-06-04
49424736,18,58.21,2025-06-22
84651453,19,187.21,2024-08-29
28748493,19,33.65,2025-02-07
79672801,19,154.82,2024-08-31
72896829,19,132.45,2024-10-26
97627557,19,173.69,2024-08-10
50562579,19,178.97,2025-06-12
93106407,19,58.36,2024-09-21
34695447,19,148.06,2025-03-31
18908764,19,65.96,2024-06-08
56271066,19,74.23,2025-04-29
94283979,20,12.31,2024-08-13
85219477,21,68.45,2024-09-30
19196735,21,144.25,2024-06-13
68861153,22,132.12,2025-03-16
95973304,22,141.92,2025-06-23
90490037,23,139.32,2025-05-06
909431,23,120.67,2025-05-26
28050447,23,83.11,2025-04-24
2353985,23,180.87,2025-06-22
46076080,23,175.27,2025-05-11
53486551,23,89.22,2025-06-16
63643469,23,26.07,2025-05-31
25825367,23,100.19,2025-04-25
49378433,23,136.13,2025-05-22
675751,23,21.03,2025-06-02
36164103,24,181.67,2025-02-11
98304182,24,23.33,2024-05-17
9187759,24,116.05,2024-10-10
15702524,24,188.6,2024-05-02
87653704,24,114.41,2025-01-25
13709623,24,64.37,2024-07-17
24404166,24,29.81,2024-09-22
22569506,24,180.34,2024-04-02
15440330,25,140.16,2025-05-23
44052572,25,189.14,2025-06-22
13014656,25,134.27,2025-03-18
32209307,25,23.59,2024-12-14
65053207,25,119.59,2025-01-28
29387318,25,69.66,2025-05-01
76141515,25,43.74,2025-01-26
7010879,26,28.37,2024-08-13
4594490,26,162.47,2024-07-23
1769284,26,154.36,2025-02-21
85510197,27,149.24,2025-03-14
93494329,27,52.28,2025-05-01
87956221,27,26.38,2024-12-12
7088890,27,24.54,2025-05-11
68991981,27,45.01,2025-02-17
78609131,27,26.67,2025-05-27
97219122,27,32.21,2025-04-23
96464339,27,29.13,2025-03-11
64343856,28,177.2,2025-05-11
61823819,28,12.57,2025-06-18
66201799,28,91.02,2025-03-14
72152662,28,134.57,2025-05-16
49339279,28,12.88,2025-04-20
98334579,28,77.95,2025-05-06
99205759,28,162.55,2025-03-29
59555265,29,16.23,2024-01-28
82999105,29,31.18,2023-09-17
21850603,29,49.14,2025-03-16
20361306,29,117.4,2024-12-31
79239876,29,86.98,2024-09-21
77363186,29,124.44,2024-08-05
29328870,29,20.46,2023-09-03
67044063,30,113.51,2025-01-16
3213844,30,12.9,2024-09-11
6386167,30,84.55,2024-09-30
80702082,30,25.91,2025-03-10
40735725,30,140.68,2024-09-07
30384512,30,98.78,2024-09-24
55739673,31,139.19,2025-06-18
52992932,31,110.58,2025-06-12
73392266,31,59.97,2025-06-12
88602461,31,28.96,2025-06-17
47615983,31,30.49,2025-06-19
72680629,31,118.76,2025-06-23
39685739,31,115.85,2025-06-14
10411456,31,84.45,2025-06-22
9759857,32,103.96,2024-09-27
48529122,32,144.96,2024-02-16
49687081,33,131.09,2025-03-26
10452309,33,180.52,2024-12-15
24213918,33,168.12,2024-08-30
19828005,33,95.1,2024-06-01
44307906,33,92.93,2025-05-27
27768623,33,95.72,2024-03-05
92770071,34,123.87,2025-02-16
40637505,34,112.17,2025-06-08
79490487,34,91.55,2025-02-11
37285312,34,27.37,2024-12-02
87876120,34,10.37,2024-05-04
87180665,34,134.35,2025-01-12
96316887,34,174.64,2024-05-15
69059301,35,170.69,2024-11-14
29429393,36,108.14,2024-12-26
65158817,36,134.46,2025-06-17
92925946,36,116.78,2025-05-04
64988956,36,51.11,2024-11-03
59556854,36,41.94,2024-12-26
88848084,36,49.89,2025-04-03
43171392,36,115.75,2025-04-26
87959252,36,45.67,2024-11-03
56451631,37,192.07,2024-07-13
55444034,37,58.97,2024-09-18
91151749,37,14.02,2024-02-06
69761461,37,125.65,2024-06-20
72472874,37,163.03,2024-05-21
73947727,37,120.62,2024-09-25
18128155,37,51.84,2024-01-30
75057469,37,44.25,2025-01-06
85399563,37,100.84,2024-05-26
46199466,37,134.63,2024-01-31
35349045,38,159.13,2024-11-04
81649643,38,149.8,2025-06-07
67458675,38,113.88,2024-12-12
11250904,38,16.9,2024-12-31
35485340,38,41.5,2024-06-17
20610627,38,151.7,2025-04-01
18475040,38,31.44,2024-05-27
35317903,38,93.71,2024-09-24
10647043,38,74.47,2024-10-16
36134946,39,144.95,2025-06-23
45112030,40,13.72,2025-01-25
33491624,40,150.85,2024-08-04
74831066,41,32.05,2024-11-20
86827026,41,25.64,2024-11-21
69299216,42,99.28,2025-06-20
21790777,42,86.16,2025-05-11
79720218,42,126.24,2025-05-14
94234486,42,31.78,2025-05-24
3769338,42,71.61,2025-06-01
28448924,42,49.3,2025-05-18
14379627,43,152.81,2025-05-11
85376011,43,75.65,2024-11-13
29262433,43,26.95,2024-03-13
55495371,43,14.32,2024-07-30
65733779,43,162.32,2025-05-23
9540239,43,187.28,2024-12-07
12571608,43,45.0,2024-09-18
49039737,43,51.44,2024-09-15
87046907,43,77.56,2024-11-26
65181308,44,29.37,2025-05-10
57822885,44,151.92,2024-09-19
10152226,44,115.51,2024-12-09
78320702,44,108.83,2024-06-01
3000995,44,158.25,2025-02-25
8331692,44,53.16,2024-09-12
74103766,45,59.15,2025-04-08
34552328,45,184.19,2025-03-01
90373601,45,29.97,2025-06-14
37414177,45,21.74,2025-02-27
28129136,45,149.65,2025-02-19
68916101,45,56.13,2025-06-18
85717001,45,54.76,2025-04-17
1814350,45,36.95,2025-05-21
6146235,45,107.66,2025-06-17
55198530,45,41.51,2025-05-23
68123081,46,163.17,2024-03-14
30651841,46,133.46,2024-09-17
96790229,46,105.69,2024-11-30
28557449,46,196.22,2024-08-17
55061770,46,89.48,2024-04-09
22312214,46,183.82,2025-01-27
87037800,46,170.52,2024-12-25
28013133,46,196.53,2024-11-24
92918107,46,114.62,2024-04-15
76437787,47,39.99,2025-06-23
77661606,47,39.97,2025-05-23
47172455,47,38.46,2025-06-12
45292768,47,146.16,2025-06-13
83796515,47,76.28,2025-05-31
22184749,47,97.95,2025-06-01
20032074,48,102.99,2024-09-26
13740715,48,38.58,2024-08-08
75785037,48,151.09,2024-06-18
90732258,48,169.3,2024-08-30
75973005,48,137.89,2024-10-22
26541226,49,131.83,2024-11-19
86293563,49,37.07,2024-11-01
12628094,49,17.04,2025-06-23
2142186,49,199.6,2024-07-21
89666174,49,135.59,2024-06-30
33425988,49,79.74,2025-01-17
54184829,49,97.24,2024-10-08
67697133,49,65.34,2024-12-25
56988576,49,21.55,2024-12-18
58987464,50,73.13,2024-12-22
93238241,50,167.88,2025-03-28
73221394,50,113.63,2025-04-24
75427862,50,190.68,2025-04-01
17066185,50,128.86,2025-05-06
13273759,50,65.17,2024-12-25
62438217,50,172.48,2025-03-28
972225,51,80.44,2025-05-13
34486370,51,30.76,2024-10-28
21196957,52,37.24,2024-08-11
61335211,52,126.82,2025-02-01
21127288,52,83.45,2024-12-25
34103685,52,21.97,2024-10-29
77260692,52,27.1,2025-03-24
7453548,53,48.63,2024-06-27
68012117,53,168.85,2024-05-01
17997932,53,180.42,2024-12-31
58582339,53,141.79,2024-05-14
32968661,53,119.43,2024-06-01
59172363,53,171.36,2024-06-17
61506897,53,74.08,2024-06-03
40031133,53,53.83,2024-10-18
90565079,54,49.81,2025-05-19
67337297,54,44.43,2025-06-08
13142390,54,36.14,2025-05-12
44070491,54,165.01,2025-06-22
44719259,54,159.92,2025-05-16
44323930,54,154.0,2025-05-02
51322808,54,59.48,2025-06-11
21062381,54,110.79,2025-04-20
14055984,54,143.5,2025-04-04
67136274,55,59.07,2025-06-21
90363496,55,15.32,2025-06-06
97501242,55,183.99,2025-06-03
81550406,55,127.81,2025-06-08
75611011,55,85.82,2025-06-17
30335001,55,74.83,2025-06-13
45752635,56,181.32,2025-05-20
31435155,57,130.45,2024-11-13
57447163,57,93.8,2025-02-04
75078239,57,61.65,2025-05-09
37556314,58,19.13,2024-08-11
84975490,58,172.14,2025-02-02
7200934,58,62.9,2025-04-26
37623155,58,185.61,2024-05-30
82069052,58,171.68,2025-01-24
16793102,58,19.83,2025-03-01
58953113,58,60.21,2024-09-08
